trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-09T21:07:03.709+00:00,136.4,,,,,,,
2,2026-02-09T21:07:13.710+00:00,131.8,,,,,,,
3,2026-02-09T21:07:23.711+00:00,128.2,,,,,,,
4,2026-02-09T21:07:33.712+00:00,137.9,,,,,,,
5,2026-02-09T21:07:43.713+00:00,132.5,,,,,,,
6,2026-02-09T21:07:53.714+00:00,139.0,,,,,,,
7,2026-02-09T21:08:03.715+00:00,130.2,,,,,,,
8,2026-02-09T21:08:13.716+00:00,136.5,,,,,,,
9,2026-02-09T21:08:23.717+00:00,311.7,,,,,,,
10,2026-02-09T21:08:33.718+00:00,130.5,,,,,,,
11,2026-02-09T21:08:43.719+00:00,142.4,0000019c442faadf,1869.5,4945.4,2919.5,,,
12,2026-02-09T21:08:53.721+00:00,141.0,0000019c442fd2ce,2548.9,6943.3,3062.8,10.68,12.00,10.14
13,2026-02-09T21:09:03.722+00:00,130.2,0000019c442ff884,1737.7,5007.7,2995.7,9.19,8.07,9.93
14,2026-02-09T21:09:13.722+00:00,142.8,,,,,,,
15,2026-02-09T21:09:23.724+00:00,136.4,0000019c443047e8,2244.5,7093.6,2244.3,20.51,22.09,19.25
16,2026-02-09T21:09:33.725+00:00,166.3,,,,,,,
17,2026-02-09T21:09:43.726+00:00,207.0,,,,,,,
18,2026-02-09T21:09:53.727+00:00,132.6,,,,,,,
19,2026-02-09T21:10:03.729+00:00,142.5,,,,,,,
20,2026-02-09T21:10:13.729+00:00,136.1,0000019c44310a78,1900.9,4908.9,2822.7,49.66,47.82,50.58
21,2026-02-09T21:10:23.730+00:00,278.3,,,,,,,
22,2026-02-09T21:10:33.732+00:00,131.6,0000019c44315817,1959.1,4960.8,2788.6,20.06,20.05,19.97
23,2026-02-09T21:10:43.733+00:00,143.7,,,,,,,
24,2026-02-09T21:10:53.734+00:00,137.0,0000019c4431a797,2753.1,6939.5,2998.8,20.80,21.98,20.21
25,2026-02-09T21:11:03.735+00:00,193.2,,,,,,,
26,2026-02-09T21:11:13.737+00:00,137.8,0000019c4431f4e1,1902.1,4937.0,2924.8,19.15,18.00,19.93
27,2026-02-09T21:11:23.738+00:00,137.0,,,,,,,
28,2026-02-09T21:11:33.738+00:00,132.1,,,,,,,
29,2026-02-09T21:11:43.740+00:00,146.6,0000019c44326a3c,1946.4,4927.3,3071.5,30.05,29.99,30.15
30,2026-02-09T21:11:53.740+00:00,138.2,0000019c44329231,2241.7,6896.2,3162.6,10.30,11.97,10.09
