trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c4730533b,322.8,3358.0,,,,
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c47305a3a,1541.6,5275.9,,1.22,1.92,
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c47305f41,3045.2,7404.9,,1.50,2.13,
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c47306e16,6581.7,11292.8,,3.54,3.89,
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c47307487,8659.6,13325.2,,2.08,2.03,
1,2026-02-10T23:19:27.130+00:00,499.8,0000019c4730836b,11863.1,,,3.20,,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c4730836b,,322.4,,,2.00,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c47309210,651.8,,,3.79,,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c47309bf6,3382.5,6321.7,,2.73,6.00,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c4730aa73,7458.0,14379.4,,4.08,8.06,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c4730ae08,8560.6,12336.6,,1.10,-2.04,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c4730bcbb,12018.6,,,3.46,,
2,2026-02-10T23:19:42.131+00:00,480.0,0000019c4730be57,12752.2,,,0.73,,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730cd07,1007.1,7312.8,,3.26,9.98,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730bcbb,,1304.3,,,-6.01,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730cedc,1858.9,5395.7,,0.85,4.09,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730dd44,5400.5,9651.0,,3.54,4.26,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730e20b,6314.5,11287.5,,0.91,1.64,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4730f0f6,10553.8,13324.3,,4.24,2.04,
3,2026-02-10T23:19:57.132+00:00,483.0,0000019c4731002e,14062.4,,,3.51,,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c4731002e,,2349.7,,,4.03,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c47310f3c,3614.1,,,4.55,,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c4731147c,4832.2,8317.3,,1.22,5.97,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c4731195a,5362.4,,,0.53,,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c4731282c,9365.7,,,4.00,,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c473136dd,13836.5,,,4.47,,
4,2026-02-10T23:20:12.133+00:00,484.8,0000019c47313d8b,14697.1,,,0.86,,
5,2026-02-10T23:20:27.134+00:00,506.9,0000019c4731282c,,1261.3,,,7.95,
5,2026-02-10T23:20:27.134+00:00,506.9,0000019c47313d8b,,3241.1,,,1.98,
5,2026-02-10T23:20:27.134+00:00,506.9,0000019c47314d3d,8047.7,11477.9,,8.35,8.24,
5,2026-02-10T23:20:27.134+00:00,506.9,0000019c47315f13,12190.3,,,4.14,,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c47316f57,1347.5,4359.5,,4.16,7.88,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c47315f13,,2235.8,,,-2.12,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c473171fd,2528.1,,,1.18,,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c473182cf,6708.8,10377.9,,4.18,8.14,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c47319022,10192.5,14307.8,,3.48,3.93,
6,2026-02-10T23:20:42.136+00:00,475.4,0000019c4731a01b,13941.2,,,3.75,,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731afa7,2672.9,7353.0,,3.73,8.05,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731b18b,3899.8,,,1.23,,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731b4af,4322.2,9593.8,,0.42,2.24,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731a01b,,5479.8,,,-4.11,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731c32d,8393.5,13317.4,,4.07,7.84,
7,2026-02-10T23:20:57.137+00:00,485.4,0000019c4731cf85,11529.4,,,3.14,,
8,2026-02-10T23:21:12.138+00:00,474.6,0000019c4731cf85,,434.8,,,2.12,
8,2026-02-10T23:21:12.138+00:00,474.6,0000019c4731df8d,1836.7,8421.9,,5.31,7.99,
8,2026-02-10T23:21:12.138+00:00,474.6,0000019c4731e264,2300.4,6382.8,,0.46,-2.04,
8,2026-02-10T23:21:12.138+00:00,474.6,0000019c4731f165,6041.0,10360.2,,3.74,3.98,
8,2026-02-10T23:21:12.138+00:00,474.6,0000019c4731fcd4,8962.6,,,2.92,,
