trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-09T21:31:48.078+00:00,139.9,,,,,,,
2,2026-02-09T21:31:58.079+00:00,139.5,,,,,,,
3,2026-02-09T21:32:08.081+00:00,136.8,,,,,,,
4,2026-02-09T21:32:18.082+00:00,186.3,,,,,,,
5,2026-02-09T21:32:28.083+00:00,134.7,,,,,,,
6,2026-02-09T21:32:38.085+00:00,138.9,,,,,,,
7,2026-02-09T21:32:48.086+00:00,140.1,,,,,,,
8,2026-02-09T21:32:58.087+00:00,129.7,,,,,,,
9,2026-02-09T21:33:08.088+00:00,159.6,,,,,,,
10,2026-02-09T21:33:18.089+00:00,135.7,,,,,,,
11,2026-02-09T21:33:28.090+00:00,140.6,,,,,,,
12,2026-02-09T21:33:38.092+00:00,190.0,,,,,,,
