trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T23:19:39.619+00:00,499.9,0000019c44478c21,9.6,,,,,
1,2026-02-10T23:19:39.619+00:00,499.9,0000019c4447961e,2397.3,4822.6,,2.39,,
1,2026-02-10T23:19:39.619+00:00,499.9,0000019c4447a72f,6725.5,10728.4,,4.33,5.91,
1,2026-02-10T23:19:39.619+00:00,499.9,0000019c4447aca0,8284.7,,,1.56,,
1,2026-02-10T23:19:39.619+00:00,499.9,0000019c4447bbed,11898.0,,,3.61,,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447ca96,474.4,5759.0,,3.58,10.03,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447aca0,,1880.5,,,-3.88,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447ceb8,2421.6,,,1.95,,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447d326,2735.4,7764.7,,0.31,5.88,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447e1ec,6441.5,9780.5,,3.71,2.02,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447e4f8,7490.2,,,1.05,,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447f3a7,11444.6,,,3.95,,
2,2026-02-10T23:19:54.619+00:00,478.0,0000019c4447f96c,13065.9,,,1.62,,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c4447f3a7,,827.5,,,6.05,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c444808a0,1683.1,6791.8,,3.62,5.96,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c4448174c,5061.9,8771.0,,3.38,1.98,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c444819c0,6355.5,,,1.29,,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c44482014,7560.9,12880.5,,1.21,4.11,
3,2026-02-10T23:20:09.620+00:00,484.1,0000019c44482ed6,11559.8,,,4.00,,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44483df7,616.2,9721.2,,4.06,11.84,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44482ed6,,1880.6,,,-7.84,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44484861,3050.2,5733.9,,2.43,3.85,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44485801,6686.5,11768.8,,3.64,6.03,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44486660,10941.4,,,4.25,,
4,2026-02-10T23:20:24.622+00:00,671.9,0000019c44487195,13458.3,,,2.52,,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c44486660,,787.6,,,4.02,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c444880a6,2264.9,4724.6,,3.81,3.94,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c44487195,,2774.6,,,-1.95,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c44488f54,6135.9,8805.0,,3.87,6.03,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c4448970d,7651.8,12852.3,,1.52,4.05,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c4448a5ee,11750.7,,,4.10,,
5,2026-02-10T23:20:39.623+00:00,546.1,0000019c4448a7f4,12281.1,,,0.53,,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448b6c5,1010.1,,,3.73,,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448bb62,2632.4,5822.3,,1.62,7.97,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448a7f4,,3770.9,,,-2.05,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448ca02,6835.8,11994.5,,4.20,8.22,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448d92d,10563.4,13768.8,,3.73,1.77,
6,2026-02-10T23:20:54.623+00:00,482.4,0000019c4448e042,11790.8,,,1.23,,
7,2026-02-10T23:21:09.624+00:00,497.3,0000019c4448ef16,381.3,4825.8,,3.59,6.06,
7,2026-02-10T23:21:09.624+00:00,497.3,0000019c4448e042,,2849.2,,,-1.98,
7,2026-02-10T23:21:09.624+00:00,497.3,0000019c4448fd00,4411.8,8777.2,,4.03,5.93,
7,2026-02-10T23:21:09.624+00:00,497.3,0000019c4449089b,7602.9,10823.6,,3.19,2.05,
7,2026-02-10T23:21:09.624+00:00,497.3,0000019c4449180d,13775.3,,,6.17,,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c444923e1,1969.5,7765.3,,3.19,11.94,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c44492585,2392.7,,,0.42,,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c4449180d,,3973.4,,,-3.79,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c444933c4,6211.1,11720.5,,3.82,7.75,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c44493694,6758.2,9769.5,,0.55,-1.95,
8,2026-02-10T23:21:24.625+00:00,480.7,0000019c44494611,10652.3,13815.3,,3.89,4.05,
