trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678a89b,2.9,306.7,,,,
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678b72a,8.0,4376.5,,0.01,4.07,
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678c62a,4066.6,,,4.06,,
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678d2d0,6743.3,,,2.68,,
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678e25a,10977.4,,,4.23,,
1,2026-02-10T23:19:50.084+00:00,482.7,0000019c4678e85c,12660.5,,,1.68,,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4678f70a,1085.4,,,3.43,,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4678e25a,,1814.1,,,12.44,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4678e85c,,3299.8,,,1.49,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c467901de,4320.2,7407.1,,3.23,4.11,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4678d2d0,,5428.3,,,-1.98,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c46791022,7706.3,,,3.39,,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4679129c,8830.2,13455.1,,1.12,8.03,
2,2026-02-10T23:20:05.085+00:00,515.1,0000019c4679254b,14010.7,,,5.18,,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c46791022,,343.0,,,1.89,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c46792df4,1202.2,4361.8,,2.19,4.02,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c4679254b,,2378.8,,,-1.98,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c46793db0,4929.3,14333.2,,3.73,11.95,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c46794c55,9101.9,12351.3,,4.17,-1.98,
3,2026-02-10T23:20:20.085+00:00,479.2,0000019c46795cbb,12703.9,,,3.60,,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c46796b56,1501.3,7329.2,,3.80,9.98,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c46795cbb,,5450.4,,,-1.88,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c4679790e,5533.1,9417.5,,4.03,3.97,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c46798805,8832.9,,,3.30,,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c46798be9,10410.2,13357.5,,1.58,3.94,
4,2026-02-10T23:20:35.086+00:00,492.2,0000019c46799a70,13758.9,,,3.35,,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679a3c3,860.8,6351.2,,2.10,7.99,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c46799a70,,2355.0,,,-4.00,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679b20b,5116.2,12530.5,,4.26,10.18,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679b733,5990.0,,,0.87,,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679c649,10160.0,14308.9,,4.17,1.78,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679c7c3,10835.1,,,0.68,,
5,2026-02-10T23:20:50.087+00:00,480.2,0000019c4679d773,14575.2,,,3.74,,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c4679c7c3,,1609.5,,,2.30,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c4679d773,,3399.6,,,1.79,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c4679e5fe,3455.3,7522.1,,3.88,4.12,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c4679f4cd,7364.9,11362.7,,3.91,3.84,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c4679fb04,8948.5,13444.8,,1.58,2.08,
6,2026-02-10T23:21:05.087+00:00,479.3,0000019c467a0a2c,14827.5,,,5.88,,
7,2026-02-10T23:21:20.089+00:00,476.3,0000019c467a1887,3753.9,10403.9,,3.93,11.96,
7,2026-02-10T23:21:20.089+00:00,476.3,0000019c467a1a25,4383.7,,,0.63,,
7,2026-02-10T23:21:20.089+00:00,476.3,0000019c467a2896,8149.8,12369.6,,3.77,1.97,
7,2026-02-10T23:21:20.089+00:00,476.3,0000019c467a0a2c,,8330.8,,,-4.04,
7,2026-02-10T23:21:20.089+00:00,476.3,0000019c467a3469,12056.1,,,3.91,,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a46b8,958.3,5384.0,,3.90,12.05,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a3469,,1481.6,,,-3.90,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a4c44,1908.1,7363.6,,0.95,5.88,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a5b0c,6696.2,9285.0,,4.79,1.92,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a6143,8123.6,13499.6,,1.43,4.21,
8,2026-02-10T23:21:35.090+00:00,486.3,0000019c467a6fc4,11668.2,,,3.54,,
